Pixel,WL,Used,ADC(1)
752,656.177,1,1226
753,656.471,1,1355
754,656.765,1,1374
755,657.059,1,1487
756,657.353,1,1305
757,657.647,1,1347
758,657.941,1,1475
759,658.235,1,1510
760,658.529,1,1430
761,658.824,1,1390
762,659.118,1,1354
763,659.412,1,1414
764,659.706,1,1685
765,660,1,1606
766,660.303,1,1642
767,660.606,1,1789
768,660.909,1,1592
769,661.212,1,1639
770,661.515,1,1512
771,661.818,1,1640
772,662.121,1,1667
773,662.424,1,1538
774,662.727,1,1752
775,663.03,1,1807
776,663.333,1,1942
777,663.636,1,1861
778,663.939,1,1782
779,664.242,1,1862
780,664.546,1,1815
781,664.849,1,1992
782,665.152,1,1834
783,665.455,1,2006
784,665.758,1,1935
785,666.061,1,1926
786,666.364,1,1988
787,666.667,1,2017
788,666.97,1,2076
789,667.273,1,2156
790,667.576,1,2030
791,667.879,1,2162
792,668.182,1,2003
793,668.485,1,2247
794,668.788,1,2204
795,669.091,1,2374
796,669.394,1,2596
797,669.697,1,2485
798,670,1,2501
799,670.313,1,2456
800,670.625,1,2689
801,670.938,1,2832
802,671.25,1,2346
803,671.563,1,2870
804,671.875,1,2843
805,672.188,1,2855
806,672.5,1,2627
807,672.813,1,2740
808,673.125,1,3142
809,673.438,1,3125
810,673.75,1,2932
811,674.063,1,2868
812,674.375,1,3147
813,674.688,1,3112
814,675,1,3125
815,675.313,1,3399
816,675.625,1,3429
817,675.938,1,3728
818,676.25,1,3523
819,676.563,1,3946
820,676.875,1,4012
821,677.188,1,4067
822,677.5,1,4390
823,677.813,1,4675
824,678.125,1,5014
825,678.438,1,5112
826,678.75,1,5246
827,679.063,1,6239
828,679.375,1,6282
829,679.688,1,6924
830,680,1,7367
831,680.4,1,8147
832,680.8,1,8931
833,681.2,1,10050
834,681.6,1,11004
835,682,1,11987
836,682.4,1,13506
837,682.8,1,14870
838,683.2,1,16090
839,683.6,1,16732
840,684,1,17852
841,684.4,1,19018
842,684.8,1,18682
843,685.2,1,19852
844,685.6,1,20158
845,686,1,21614
846,686.4,1,22660
847,686.8,1,24130
848,687.2,1,24347
849,687.6,1,24252
850,688,1,25572
851,688.4,1,27554
852,688.8,1,27506
853,689.2,1,28132
854,689.6,1,28720
855,690,1,29274
856,690.286,1,28810
857,690.571,1,29519
858,690.857,1,30782
859,691.143,1,31238
860,691.429,1,31770
861,691.714,1,32795
862,692,1,32634
863,692.286,1,32714
864,692.571,1,33269
865,692.857,1,33410
866,693.143,1,33053
867,693.429,1,33531
868,693.714,1,34587
869,694,1,34750
870,694.286,1,34438
871,694.571,1,33906
872,694.857,1,34514
873,695.143,1,34626
874,695.429,1,34092
875,695.714,1,34730
876,696,1,35178
877,696.286,1,35566
878,696.571,1,36002
879,696.857,1,35367
880,697.143,1,35803
881,697.429,1,35586
882,697.714,1,35800
883,698,1,35800
884,698.286,1,35915
885,698.571,1,34860
886,698.857,1,34290
887,699.143,1,34738
888,699.429,1,34565
889,699.714,1,34586
890,700,1,35050
891,700.294,1,33222
892,700.588,1,33586
893,700.882,1,34139
894,701.177,1,33698
895,701.471,1,32476
896,701.765,1,31564
897,702.059,1,30568
898,702.353,1,30322
899,702.647,1,31106
900,702.941,1,30260
901,703.235,1,29010
902,703.529,1,28176
903,703.824,1,28060
904,704.118,1,27498
905,704.412,1,26750
906,704.706,1,24773
907,705,1,24686
908,705.294,1,24134
909,705.588,1,23962
910,705.882,1,23084
911,706.177,1,22915
912,706.471,1,22487
913,706.765,1,20882
914,707.059,1,20012
915,707.353,1,19122
916,707.647,1,17246
917,707.941,1,16546
